model,n_paired_items,answer_top1,posterior_top1,ratio,self_agreement,self_agreement_informative,median_rank_of_own_answer,uniform_share,posterior_top1_no_ties,mcnemar_chi2,n_answer_right_posterior_wrong,n_posterior_right_answer_wrong
qwen3-4b-nothink,35205,0.2664678312739668,0.05913932680017043,4.505763688760807,0.04169862235477915,0.06846502076818967,4.0,0.3913648629456043,0.13356491532783327,5534.740101839343,8461,1162
qwen3-4b-think,32696,0.234738194274529,0.04881331049669684,4.8088972431077694,0.01920724247614387,0.03415352719733755,3.0,0.4394115488133105,0.0901195108393552,4546.718030769231,7102,1023
qwen3-8b-nothink,35208,0.28118609406952966,0.10898091342876619,2.580140734949179,0.08455464667121108,0.10537878251009851,3.0,0.1984208134514883,0.13003616788628145,3777.1450303217184,7896,1833
qwen3-8b-think,35208,0.25161895023858216,0.09744944330833902,2.5820460507140774,0.06700181776868894,0.08760274743835153,3.0,0.24326857532379004,0.1306682048096548,3330.9578149739878,7135,1707
med42-8b,35208,0.30916269029765964,0.07938536696205407,3.894454382826476,0.12085321517836856,0.12105503019254871,3.0,0.0028402635764598954,0.08118707924155395,7130.767327811683,8633,543
