model_key,k,jsd_permutation,jsd_retest,order_effect,ci_lo,ci_hi,top1_flip_rate
qwen3-4b-nothink,2,0.12452479652062248,0.07222997232648655,0.05229482419413594,0.045254805364649375,0.05963443111031034,0.39826175869120656
qwen3-4b-nothink,3,0.12676912910480873,0.07222997232648655,0.054539156778322176,0.04886028930465042,0.060295236029805334,0.5480572597137015
qwen3-4b-nothink,5,0.1275666051996701,0.07222997232648655,0.055336632873183564,0.050599275624166676,0.06015606268442946,0.6666666666666666
qwen3-4b-nothink,10,0.12844860935796878,0.07222997232648655,0.05621863703148225,0.0518122552609873,0.06057666374779842,0.7955010224948875
qwen3-4b-think,2,0.139300082902165,0.12191399985276369,0.0173860830494013,0.008843683791182323,0.026173680808696326,0.3624042427813789
qwen3-4b-think,3,0.1313227832757223,0.1160587514376881,0.015331847553903655,0.00870158708760267,0.022243900440833134,0.45215562565720296
qwen3-4b-think,5,0.1303560628783407,0.11440179329584763,0.016012958680915106,0.010357624827828564,0.02178915623822616,0.568868407578085
qwen3-4b-think,10,0.13146875630411223,0.11428543683620232,0.0173102809526845,0.01249140227758471,0.022214826640399973,0.6993865030674846
qwen3-8b-nothink,2,0.20822863917982573,0.1692304126514548,0.038998226528370934,0.031069410544253353,0.046934338066757494,0.6175869120654397
qwen3-8b-nothink,3,0.2057411071906598,0.1692304126514548,0.036510694539204996,0.03025399146015862,0.04289419956116212,0.7822085889570553
qwen3-8b-nothink,5,0.20434066697249367,0.1692304126514548,0.03511025432103884,0.029923867884125908,0.04021688005854765,0.885480572597137
qwen3-8b-nothink,10,0.2023050501166356,0.1692304126514548,0.03307463746518078,0.0285639959854399,0.03744179851418531,0.9468302658486708
qwen3-8b-think,2,0.1834986582773079,0.1610932885337316,0.02240536974357632,0.011790471189323718,0.03260214561341952,0.4401840490797546
qwen3-8b-think,3,0.18498858825887246,0.1610932885337316,0.023895299725140855,0.015334202954144128,0.032407665393219424,0.5843558282208589
qwen3-8b-think,5,0.18384113910886493,0.1610932885337316,0.02274785057513339,0.015795588649533406,0.029834311321910913,0.7326175869120655
qwen3-8b-think,10,0.1843674372417776,0.1610932885337316,0.023274148708046,0.01725869616491953,0.02912053698924741,0.885480572597137
qwen3-32b-nothink,2,0.29876091736635474,0.25615902891867576,0.04260188844767901,0.030181523726757038,0.05561019552557506,0.6078732106339468
qwen3-32b-nothink,3,0.2970712450592734,0.25615902891867576,0.04091221614059768,0.03070462096400051,0.05136871912532137,0.7474437627811861
qwen3-32b-nothink,5,0.2918660434186508,0.25615902891867576,0.035707014499975015,0.02685767631866909,0.04422973694769089,0.8588957055214724
qwen3-32b-nothink,10,0.290754034356224,0.25615902891867576,0.03459500543754826,0.027006072804419592,0.04196739809717982,0.9279141104294478
qwen3-32b-think,2,0.31960542056029473,0.2665540215652963,0.053051398994998396,0.039142443855853706,0.06645242528111193,0.5117586912065439
qwen3-32b-think,3,0.3153416351907745,0.2665540215652963,0.0487876136254782,0.038075215237654184,0.05952513295112157,0.6513292433537833
qwen3-32b-think,5,0.30912612492291996,0.2665540215652963,0.04257210335762362,0.03357483955785118,0.05124369705494301,0.7842535787321063
qwen3-32b-think,10,0.30945179994557176,0.2665540215652963,0.04289777838027549,0.03499630506846335,0.05077883174564182,0.8870143149284253
medgemma-1.5-4b,2,0.28934378530341137,0.28153427484634136,0.007809510457070029,-0.0028252041246968726,0.018375297386919832,0.661042944785276
medgemma-1.5-4b,3,0.28528158408947185,0.28153427484634136,0.0037473092431305065,-0.0047518658492761556,0.012280280538277209,0.8225971370143149
medgemma-1.5-4b,5,0.28529323953692576,0.28153427484634136,0.003758964690584433,-0.0034327100547157786,0.010934737844311747,0.9289366053169734
medgemma-1.5-4b,10,0.28357571194322917,0.28153427484634136,0.0020414370968878538,-0.003935581481441023,0.008265810184372734,0.9938650306748467
medgemma-27b,2,0.26245764921767106,0.24638554793475745,0.016072101282913604,0.0030441371784350386,0.029499533451472028,0.4447852760736196
medgemma-27b,3,0.26907312569108416,0.24638554793475745,0.022687577756326717,0.012158856892253683,0.032608117292876465,0.6032719836400818
medgemma-27b,5,0.2662609269182734,0.24638554793475745,0.019875378983515973,0.011140749275892372,0.028462265295709617,0.7280163599182005
medgemma-27b,10,0.27122577357955546,0.24638554793475745,0.02484022564479802,0.01732902187466933,0.03228658001558306,0.83640081799591
med42-8b,2,0.26128547476465075,0.2549770811483188,0.0063083936163318985,-0.008710049286849753,0.02202063442579317,0.581799591002045
med42-8b,3,0.26215757232722287,0.2549770811483188,0.007180491178904004,-0.005277995089923962,0.019415689868259384,0.754601226993865
med42-8b,5,0.26156664212031466,0.2549770811483188,0.006589560971995773,-0.0038103000453381065,0.016765530379018595,0.8757668711656442
med42-8b,10,0.26228387686334226,0.2549770811483188,0.007306795715023437,-0.001467323861768317,0.015954438268054316,0.9570552147239264
gpt-oss-20b,2,0.28477093201557413,0.27824606839395777,0.006524863621616382,-0.005198202546112988,0.01804024895402396,0.5855018587360595
gpt-oss-20b,3,0.28851429258380656,0.28174451685516744,0.006481753704510376,-0.0015393092775668623,0.01483447808628085,0.7440633245382586
